,Source,Target
0,6716,4892
1,5512,5186
2,506,4892
3,5512,9417
4,5512,6166
5,5512,5397
6,5512,5369
7,3839,5512
8,3765,5512
9,3839,5512
10,3839,5512
11,2951,4892
12,5512,1973
13,4489,5512
14,4489,5512
15,4489,5512
16,5512,4489
17,4489,5512
18,4489,5512
19,5512,6426
20,5512,5369
21,6426,5512
22,3145,5512
23,1204,6517
24,1204,6517
25,5512,6426
26,5512,1973
27,6426,5512
28,4489,5512
29,5512,4489
30,5512,6550
31,4489,5512
32,6550,5512
33,4489,5512
34,4489,5512
35,6426,5512
36,9501,5512
37,5512,1973
38,6426,5512
39,4489,5512
40,5512,1931
41,8106,5512
42,5512,524
43,5512,1973
44,1931,5512
45,5512,5408
46,4489,5512
47,1204,6517
48,1175,5512
49,1867,5512
50,1867,5512
51,140,5512
52,3812,5512
53,1997,1997
54,1281,5512
55,8952,5512
56,48,48
57,1997,1997
58,1867,5512
59,8737,1204
60,5512,1973
61,48,48
62,8106,1281
63,48,48
64,9415,5512
65,9415,5512
66,5512,9517
67,140,5512
68,48,48
69,9528,5512
70,5512,1973
71,745,266
72,5512,4489
73,4489,5512
74,48,48
75,4489,5512
76,5512,6426
77,5512,1973
78,1997,5512
79,4489,5512
80,3145,5512
81,1175,5512
82,48,48
83,3145,5512
84,745,266
85,5825,5825
86,745,266
87,745,266
88,8184,8184
89,5512,1973
90,9023,5512
91,8184,8184
92,745,266
93,5512,9023
94,1867,5512
95,8184,8184
96,3145,5512
97,5014,6258
98,5014,6258
99,745,266
100,5014,6258
101,5014,6258
102,745,266
103,8184,8184
104,3145,5512
105,3839,5512
106,6426,5512
107,1867,5512
108,3866,5512
109,5512,3866
110,5512,1867
111,5512,5932
112,5932,5512
113,1175,5512
114,3866,5512
115,9415,5512
116,5512,5888
117,5512,5932
118,5888,5512
119,1175,5512
120,5512,5888
121,5512,9122
122,5888,5512
123,5512,6008
124,1175,5512
125,6426,5512
126,1175,5512
127,5888,5512
128,3866,5512
129,5512,3866
130,5512,5932
131,5932,5512
132,5512,5932
133,6426,5512
134,5932,5512
135,5512,5888
136,5932,5512
137,5932,5512
138,1281,5512
139,5512,1973
140,5512,5888
141,5512,5932
142,5932,5512
143,5932,5512
144,5932,5512
145,5512,1175
146,3898,5512
147,1281,5512
148,5932,5512
149,5888,5512
150,5512,5888
151,3145,5512
152,2995,7632
153,3866,5512
154,5825,5512
155,3866,5512
156,3866,5512
157,5512,3866
158,5512,5932
159,5932,5512
160,3645,5512
161,3866,5512
162,3645,5512
163,3898,5512
164,1175,5512
165,1281,5512
166,3866,5512
167,5512,3866
168,9528,5512
169,5932,5512
170,5932,5512
171,3645,5512
172,5512,817
173,5512,5932
174,5512,2328
175,6426,5512
176,5512,5888
177,5512,5888
178,1281,5512
179,3898,5512
180,1175,5512
181,2402,5512
182,6426,5512
183,5512,6426
184,5512,2402
185,5512,8660
186,5888,5512
187,1175,5512
188,1175,5512
189,1175,5512
190,5512,1175
191,9528,5512
192,5965,5965
193,1175,5512
194,1175,5512
195,1867,5512
196,5512,9528
197,5512,1867
198,5512,524
199,524,5512
200,3839,5512
201,5965,5965
202,3898,5512
203,1175,5512
204,9528,5512
205,3839,5512
206,8849,5512
207,1175,5512
208,5512,9528
209,1175,5512
210,5965,5965
211,3839,5512
212,1175,5512
213,5932,5512
214,2386,5512
215,3645,5512
216,1867,5512
217,5512,9517
218,9415,5512
219,6732,5512
220,5512,6732
221,5512,3812
222,5512,5888
223,3866,5512
224,9517,5512
225,1175,5512
226,5512,9122
227,1281,5512
228,5512,9517
229,5512,9279
230,5512,9246
231,9415,5512
232,9517,5512
233,5408,5512
234,5512,9122
235,5408,5512
236,5512,9517
237,9246,5512
238,5512,5932
239,9517,5512
240,3866,5512
241,9415,5512
242,5512,9122
243,5965,5965
244,9415,5512
245,5512,8339
246,3645,5512
247,8412,5512
248,4584,5512
249,1175,5512
250,6684,5512
251,5512,5512
252,5512,8339
253,6732,5512
254,5512,4584
255,3145,5512
256,6732,5512
257,5512,4584
258,5512,5512
259,2386,5512
260,5512,2386
261,4584,5512
262,5512,395
263,5512,5512
264,395,5512
265,6787,6517
266,6787,6517
267,1281,1281
268,2386,5512
269,3866,5512
270,5397,5512
271,1281,5512
272,1175,5512
273,1175,5512
274,1175,5512
275,3645,5512
276,6559,5512
277,6559,5512
278,3645,5512
279,3866,5512
280,5512,3866
281,5932,5512
282,5512,3645
283,3866,5512
284,3645,5512
285,5512,5932
286,5932,5512
287,5512,1175
288,1175,5512
289,1175,5512
290,5512,5932
291,7632,7632
292,2106,5512
293,3988,5512
294,5512,3988
295,1175,5512
296,1175,5512
297,1339,5512
298,6145,5512
299,5512,1175
300,9048,5512
301,5512,9048
302,9160,2263
303,973,7588
304,9048,5512
305,5397,5512
306,5512,5397
307,1281,5512
308,1175,5512
309,5512,5397
310,8761,7588
311,1809,7588
312,3171,5512
313,5408,5512
314,9528,5512
315,5512,5932
316,1175,5512
317,1175,5512
318,5512,1175
319,5512,2939
320,1175,5512
321,1175,5512
322,6145,5512
323,5512,6145
324,3145,5512
325,1809,7588
326,2472,5512
327,5932,5512
328,8587,7588
329,5512,5932
330,5512,2472
331,5512,6145
